id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
1,tt0090009,2016-11-25,2016-11-25,,She,https://www.imdb.com/title/tt0090009/,movie,4.8,106,1984,"Action, Adventure, Fantasy, Sci-Fi",1828,1984-05-15,Avi Nesher
2,tt0058379,2016-11-25,2016-11-25,,Mosura tai Gojira,https://www.imdb.com/title/tt0058379/,movie,6.5,89,1964,"Adventure, Fantasy, Sci-Fi",9278,1964-04-29,Ishirô Honda
3,tt0058548,2016-11-25,2016-11-25,,Santa Claus Conquers the Martians,https://www.imdb.com/title/tt0058548/,movie,2.7,81,1964,"Adventure, Comedy, Family, Fantasy, Sci-Fi",12124,1964-11-14,Nicholas Webster
4,tt0056142,2016-11-25,2016-11-25,,King Kong vs. Godzilla,https://www.imdb.com/title/tt0056142/,movie,5.7,97,1963,"Action, Adventure, Fantasy, Sci-Fi",10625,1963-06-03,"Tom Montgomery, Ishirô Honda"
5,tt0235608,2016-11-25,2016-11-25,,La mujer murcielago,https://www.imdb.com/title/tt0235608/,movie,4.7,80,1968,"Adventure, Horror, Sci-Fi",624,1968-03-28,René Cardona
6,tt3522806,2016-11-25,2016-11-25,,Mechanic: Resurrection,https://www.imdb.com/title/tt3522806/,movie,5.7,98,2016,"Action, Adventure, Crime, Thriller",87498,2016-08-22,Dennis Gansel
7,tt2334879,2016-11-25,2016-11-25,,White House Down,https://www.imdb.com/title/tt2334879/,movie,6.3,131,2013,"Action, Drama, Thriller",226826,2013-06-21,Roland Emmerich
8,tt0092675,2016-11-25,2016-11-25,,Bloodsport,https://www.imdb.com/title/tt0092675/,movie,6.8,92,1988,"Action, Biography, Drama, Sport",87749,1988-02-26,Newt Arnold
9,tt0087998,2016-11-25,2016-11-25,,The Deadly Spawn,https://www.imdb.com/title/tt0087998/,movie,5.9,81,1983,"Horror, Sci-Fi",5007,1983-04-22,Douglas McKeown
10,tt0122037,2016-11-25,2016-11-25,,The Dead Pit,https://www.imdb.com/title/tt0122037/,movie,5.3,95,1989,Horror,2707,1989-05-31,Brett Leonard
11,tt0069792,2016-11-25,2016-11-25,,Black Caesar,https://www.imdb.com/title/tt0069792/,movie,6.4,87,1973,"Action, Crime, Drama, Thriller",3667,1973-02-07,Larry Cohen
12,tt0098157,2016-11-25,2016-11-25,,Les mémés cannibales,https://www.imdb.com/title/tt0098157/,movie,4.8,89,1988,"Comedy, Horror",1841,1988-12-12,Emmanuel Kervyn
13,tt0099026,2016-11-25,2016-11-25,,The Ambulance,https://www.imdb.com/title/tt0099026/,movie,5.9,96,1990,"Action, Comedy, Horror, Romance, Thriller",3910,1990-08-30,Larry Cohen
14,tt0090057,2016-11-25,2016-11-25,,Spookies,https://www.imdb.com/title/tt0090057/,movie,4.9,85,1986,"Comedy, Horror",3782,1986-03-31,"Genie Joseph, Brendan Faulkner, Thomas Doran"
15,tt2600742,2016-11-25,2016-11-25,,Ghost Shark,https://www.imdb.com/title/tt2600742/,tvMovie,3.3,87,2013,"Fantasy, Horror",3179,2013-08-22,Griff Furst
16,tt0093780,2016-11-25,2016-11-25,,The Principal,https://www.imdb.com/title/tt0093780/,movie,6.3,109,1987,"Action, Crime, Drama, Thriller",11011,1987-09-18,Christopher Cain
17,tt0117774,2016-11-25,2016-11-25,,The Substitute,https://www.imdb.com/title/tt0117774/,movie,6.0,114,1996,"Action, Crime, Drama, Thriller",14523,1996-04-19,Robert Mandel
18,tt0097390,2016-11-25,2016-11-25,,Fright Night Part 2,https://www.imdb.com/title/tt0097390/,movie,5.9,104,1988,"Comedy, Horror, Thriller",13313,1988-10-31,Tommy Lee Wallace
19,tt0088380,2016-11-25,2016-11-25,,Warrior of the Lost World,https://www.imdb.com/title/tt0088380/,movie,2.6,92,1984,"Action, Sci-Fi, Thriller",2780,1984-04-27,David Worth
20,tt0076731,2016-11-25,2016-11-25,,Snowbeast,https://www.imdb.com/title/tt0076731/,tvMovie,4.6,86,1977,Horror,2083,1977-04-28,Herb Wallerstein
21,tt2457138,2016-11-25,2016-11-25,,Battledogs,https://www.imdb.com/title/tt2457138/,tvMovie,3.5,88,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",1721,2013-04-06,Alexander Yellen
22,tt0071717,2016-11-25,2016-11-25,,Killdozer,https://www.imdb.com/title/tt0071717/,tvMovie,5.0,74,1974,"Horror, Sci-Fi",1764,1974-02-02,Jerry London
23,tt0076644,2016-11-25,2016-11-25,,Ruby,https://www.imdb.com/title/tt0076644/,movie,4.5,85,1977,"Drama, Horror",1038,1977-06-23,Curtis Harrington
24,tt0120847,2016-11-25,2016-11-25,,The Substitute 2: School's Out,https://www.imdb.com/title/tt0120847/,tvMovie,5.1,89,1998,"Action, Crime, Thriller",3080,1998-04-03,Steven Pearl
25,tt0060666,2016-11-25,2016-11-25,,Manos: The Hands of Fate,https://www.imdb.com/title/tt0060666/,movie,1.6,70,1966,Horror,36723,1966-11-15,Harold P. Warren
26,tt1869362,2016-11-25,2016-11-25,,Deadly Descent,https://www.imdb.com/title/tt1869362/,tvMovie,2.9,85,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",828,2013-01-26,Marko Mäkilaakso
27,tt0125308,2016-11-25,2016-11-25,,Trapped,https://www.imdb.com/title/tt0125308/,movie,5.9,95,1982,Thriller,727,1982-05-28,William Fruet
28,tt0070169,2016-11-25,2016-11-25,,Hell Up in Harlem,https://www.imdb.com/title/tt0070169/,movie,5.9,94,1973,"Action, Crime, Drama, Thriller",1623,1973-12-21,Larry Cohen
29,tt0074390,2016-11-25,2016-11-25,,The Demon,https://www.imdb.com/title/tt0074390/,movie,3.6,94,1979,Horror,959,1979-12-31,Percival Rubens
