,id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
0,1,tt0090009,2016-11-25,2016-11-25,"In a post-apocalyptic world, She aids two brothers&apos; quest to rescue their kidnapped sister. Along the way, they battle weird creatures before standing against the odds to defeat the evil Norks.",She,https://www.imdb.com/title/tt0090009/,movie,4.8,106.0,1984,"Action, Adventure, Fantasy, Sci-Fi",1828,1984-05-15,Avi Nesher
1,2,tt0058379,2016-11-25,2016-11-25,"Mothra&apos;s egg washes ashore and is claimed by greedy entrepreneurs who refuse to return it to her fairies. As Godzilla arises near Nagoya, the people of Infant Island must decide if they are willing to answer Japan&apos;s own pleas for ...",Mosura tai Gojira,https://www.imdb.com/title/tt0058379/,movie,6.5,89.0,1964,"Adventure, Fantasy, Sci-Fi",9278,1964-04-29,Ishirô Honda
2,3,tt0058548,2016-11-25,2016-11-25,The Martians kidnap Santa Claus because there is nobody on Mars to give their children presents.,Santa Claus Conquers the Martians,https://www.imdb.com/title/tt0058548/,movie,2.7,81.0,1964,"Adventure, Comedy, Family, Fantasy, Sci-Fi",12124,1964-11-14,Nicholas Webster
3,4,tt0056142,2016-11-25,2016-11-25,A UN reporter broadcasts a report on the appearance of a prehistoric monster that emerges from hibernation while a pharmaceutical company seeks publicity with a monster of their own. (US Version),King Kong vs. Godzilla,https://www.imdb.com/title/tt0056142/,movie,5.7,97.0,1963,"Action, Adventure, Fantasy, Sci-Fi",10625,1963-06-03,"Tom Montgomery, Ishirô Honda"
4,5,tt0235608,2016-11-25,2016-11-25,Batwoman is called to investigate a whacked-out scientist who is capturing wrestlers and using their spinal fluid to create a Gill Man.,La mujer murcielago,https://www.imdb.com/title/tt0235608/,movie,4.7,80.0,1968,"Adventure, Horror, Sci-Fi",624,1968-03-28,René Cardona
5,6,tt3522806,2016-11-25,2016-11-25,Bishop&apos;s most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.,Mechanic: Resurrection,https://www.imdb.com/title/tt3522806/,movie,5.7,98.0,2016,"Action, Adventure, Crime, Thriller",87498,2016-08-22,Dennis Gansel
6,7,tt2334879,2016-11-25,2016-11-25,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",White House Down,https://www.imdb.com/title/tt2334879/,movie,6.3,131.0,2013,"Action, Drama, Thriller",226826,2013-06-21,Roland Emmerich
7,8,tt0092675,2016-11-25,2016-11-25,"&quot;Bloodsport&quot; follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur.",Bloodsport,https://www.imdb.com/title/tt0092675/,movie,6.8,92.0,1988,"Action, Biography, Drama, Sport",87749,1988-02-26,Newt Arnold
8,9,tt0087998,2016-11-25,2016-11-25,"Alien creatures invade a small town and four teenagers, along with a young boy, attempt to escape from them.",The Deadly Spawn,https://www.imdb.com/title/tt0087998/,movie,5.9,81.0,1983,"Horror, Sci-Fi",5007,1983-04-22,Douglas McKeown
9,10,tt0122037,2016-11-25,2016-11-25,"A renegade doctor is shot dead and entombed with his fiendish experiments in the basement of an abandoned wing of a mental hospital. Twenty years later, a mysterious woman is admitted with amnesia, and her arrival is marked by an ...",The Dead Pit,https://www.imdb.com/title/tt0122037/,movie,5.3,95.0,1989,Horror,2707,1989-05-31,Brett Leonard
